Col_ID,Description,Flag for Removal,Flag for Rename,Category,Rename ideas,
angle,angle of rotation to get cell on the long axis,,,cell metric,,
bbox_max_x,Bounding Box top X coordinate,,,cell metric,,
bbox_max_y,Bounding Box top Y coordinate,,,cell metric,,
bbox_max_z,Bounding Box top Z coordinate,,,cell metric,,
bbox_min_x,Bounding Box bottom X coordinate,,,cell metric,,
bbox_min_y,Bounding Box bottom Y coordinate,,,cell metric,,
bbox_min_z,Bounding Box bottom Z coordinate,,,cell metric,,
bf_clip_hi,Brightfield intensity used for upper bound clipped values,,,cell metric,,
bf_clip_lo,Brightfield intensity used for lower bound clipped values,,,cell metric,,
cell_stage,"a label indicating the cell cycle stage of this cell, which could be ""M0"", ""M1M2"", ""M3"", ""M4M5"", “M6M7_single” or ""M6M7_complete"". See more details about M0, M1, …, M7 at https://www.allencell.org/hips-cells-during-mitosis.html. Here, M6M7_single vs M6M7_complete indicate whether the two daugher cells are both included in this cell. These labels were generated by the combination of rule-based criteria and a deep learning based classifier. See more details and the training data used to build the deep learning based classifier here: https://open.quiltdata.com/b/allencell/packages/aics/mitotic_annotation.",,Y,cell metadata,"Rename the data points to be more consistent with cell cycle. M0: interphase, M1M2:prophase, M3: early_prometaphase, M4M5:prometaphase/metaphase,M6M7_single:Anaphase/Telophase/Cyotkinesis_single_daughter, M6M7_complete:Anaphase/Telophase/Cyotkinesis_two_daughter",
CellId,a unique identifier of each cell (match with the CellId in cfe.allencell.org),,,cell metadata,,
CellIndex,UNKNOWN,,,cell metadata,,
Cellular Component,"Primary localization of structure, either membrane, cytoplasm, nucleas, nuclear periphery",,,cell metadata,,
center_slice,Path to the center slice of the Z-stack,,,cell images,,
ChannelNumber405,To be removed,Y,,,,
ChannelNumber638,TO be removed,Y,,,,
ChannelNumberBrightfield,To be removed,Y,,,,
ChannelNumberStruct,To be removed,Y,,,,
crop_raw,"the file path to access cropped single cell image (raw image), which is an unsigned 16-bit multi-channel 3D image. The name of each channel can be found in the column name_dict.",Y- these are on allen and won't have access?,,,,
crop_seg,"the file path to access cropped single cell image (segmentation), which is an unsigned 8-bit multi-channel 3D image (pixel value = 0 or 255, 255 indicates the segmentation mask). The name of each channel can be found in column name_dict.",Y- these are on allen and won't have access?,,,,
Description (from Uniprot),Description of the protein from Uniprot database,,,cell metadata,,
dna_clip_hi,DNA pixel intensity used for upper bound clipped values,,,cell metric,,
dna_clip_lo,DNA pixel intensity used for lower bound clipped values,,,cell metric,,
Draft mitotic state resolved,Mitotic state as validated by experts,,,cell metadata,,
edge_flag,a boolean value indicating if this cell is on the edge of a colony,,,cell metadata,,
Expert mitotic state resolved,Mitotic state as annotated by experts,,,cell metadata,,
fits_x,Boolean for if cell fits within bounding box for the X dimension,,,cell metric,,
fits_y,Boolean for if cell fits within bounding box for the Y dimension,,,cell metric,,
fits_z,Boolean for if cell fits within bounding box for the Z dimension,,,cell metric,,
fov_path,the path to the FOV image this cell is segmented from.,Y- these are on allen and won't have access?,,,,
fov_seg_path,"the path to the cell and nuclear segmentation of the FOV image this cell is segmented from. The segmentation is an unsigned 8-bit multi-channel 3D image. Pixels values are sequetial integers from 0 to the total number of cells in this FOV. Each integer represents one unique cell. The image contains 4 channels nuclear segmentation, cell segmentation, contour of nuclei segmentation, and contour of cell segmentation.",Y- these are on allen and won't have access?,,,,
FOVId,a unique identifier of the FOV image this cell is segmented from,,,field-of-view metadata,,
InstrumentId,Microscope identifier,,,field-of-view metadata,,
max_projection_x,Path to Max projection of X dimension,,,cell images,,
max_projection_y,Path to Max projection of Y dimension,,,cell images,,
max_projection_z,Path to Max projection of Z dimension,,,cell images,,
mean_projection_x,Path to Mean projection of X dimension,,,cell images,,
mean_projection_y,Path to Mean projection of Y dimension,,,cell images,,
mean_projection_z,Path to Mean projection of Z dimension,,,cell images,,
median_projection_x,Path to median projection of X dimension,,,cell images,,
median_projection_y,Path to median projection of Y dimension,,,cell images,,
median_projection_z,Path to median projection of Z dimension,,,cell images,,
MEM_position_depth,Cell height computed from cell segmentation in um,,Y,cell metric,Cell_Height,
MEM_roundness_surface_area,Cell surface area computed from cell segmentation in um^2,,Y,cell metric,Cell_Surface_Area,
MEM_shape_volume,Cell volume computed from cell segmentation in um^3,,Y,cell metric,Cell_Volume,
MEM_shcoeffs_L0M0C_lcc,,Y,,,,
MEM_shcoeffs_L0M0S_lcc,,Y,,,,
MEM_shcoeffs_L0M10C_lcc,,Y,,,,
MEM_shcoeffs_L0M10S_lcc,,Y,,,,
MEM_shcoeffs_L0M11C_lcc,,Y,,,,
MEM_shcoeffs_L0M11S_lcc,,Y,,,,
MEM_shcoeffs_L0M12C_lcc,,Y,,,,
MEM_shcoeffs_L0M12S_lcc,,Y,,,,
MEM_shcoeffs_L0M13C_lcc,,Y,,,,
MEM_shcoeffs_L0M13S_lcc,,Y,,,,
MEM_shcoeffs_L0M14C_lcc,,Y,,,,
MEM_shcoeffs_L0M14S_lcc,,Y,,,,
MEM_shcoeffs_L0M15C_lcc,,Y,,,,
MEM_shcoeffs_L0M15S_lcc,,Y,,,,
MEM_shcoeffs_L0M16C_lcc,,Y,,,,
MEM_shcoeffs_L0M16S_lcc,,Y,,,,
MEM_shcoeffs_L0M1C_lcc,,Y,,,,
MEM_shcoeffs_L0M1S_lcc,,Y,,,,
MEM_shcoeffs_L0M2C_lcc,,Y,,,,
MEM_shcoeffs_L0M2S_lcc,,Y,,,,
MEM_shcoeffs_L0M3C_lcc,,Y,,,,
MEM_shcoeffs_L0M3S_lcc,,Y,,,,
MEM_shcoeffs_L0M4C_lcc,,Y,,,,
MEM_shcoeffs_L0M4S_lcc,,Y,,,,
MEM_shcoeffs_L0M5C_lcc,,Y,,,,
MEM_shcoeffs_L0M5S_lcc,,Y,,,,
MEM_shcoeffs_L0M6C_lcc,,Y,,,,
MEM_shcoeffs_L0M6S_lcc,,Y,,,,
MEM_shcoeffs_L0M7C_lcc,,Y,,,,
MEM_shcoeffs_L0M7S_lcc,,Y,,,,
MEM_shcoeffs_L0M8C_lcc,,Y,,,,
MEM_shcoeffs_L0M8S_lcc,,Y,,,,
MEM_shcoeffs_L0M9C_lcc,,Y,,,,
MEM_shcoeffs_L0M9S_lcc,,Y,,,,
MEM_shcoeffs_L10M0C_lcc,,Y,,,,
MEM_shcoeffs_L10M0S_lcc,,Y,,,,
MEM_shcoeffs_L10M10C_lcc,,Y,,,,
