,CellIndex,FOVId,CellId,Draft mitotic state resolved,Draft mitotic state coarse,Draft M6/M7 complete,Expert mitotic state resolved,Expert mitotic state coarse
0,6,1,230746,M0,Non-mitotic,True,,
1,8,1,230748,M6/M7,Mitotic,False,,
2,15,1,230755,M0,Non-mitotic,True,,
3,20,1,230760,M0,Non-mitotic,True,,
4,21,1,230761,M0,Non-mitotic,True,,
5,22,1,230762,M0,Non-mitotic,True,,
6,23,1,230763,M0,Non-mitotic,True,,
7,24,1,230764,M0,Non-mitotic,True,,
8,35,1,230775,M0,Non-mitotic,True,,
9,37,1,230777,M0,Non-mitotic,True,,
10,43,1,230783,M0,Non-mitotic,True,,
11,6,5226,230792,M0,Non-mitotic,True,,
12,5,9459,230807,M0,Non-mitotic,True,,
13,6,9459,230809,M0,Non-mitotic,True,,
14,21,5226,230815,M0,Non-mitotic,True,,
15,22,5226,230817,M0,Non-mitotic,True,,
16,36,5226,230850,M0,Non-mitotic,True,,
17,41,5226,230861,M0,Non-mitotic,True,,
18,11,2,230882,M0,Non-mitotic,True,,
19,17,2,230888,M0,Non-mitotic,True,,
20,23,2,230894,M0,Non-mitotic,True,,
21,36,2,230907,M0,Non-mitotic,True,,
22,37,2,230908,M0,Non-mitotic,True,,
23,5,5228,230920,M0,Non-mitotic,True,,
24,16,5228,230931,M0,Non-mitotic,True,,
25,17,5228,230932,M0,Non-mitotic,True,,
26,18,5228,230933,M0,Non-mitotic,True,,
27,20,5228,230935,M0,Non-mitotic,True,,
28,22,5228,230937,M0,Non-mitotic,True,,
29,24,5228,230939,M0,Non-mitotic,True,,
30,25,5228,230940,M0,Non-mitotic,True,,
31,33,5228,230948,M0,Non-mitotic,True,,
32,38,5228,230953,M6/M7,Mitotic,False,,
33,42,5228,230957,M0,Non-mitotic,True,,
34,44,5228,230959,M0,Non-mitotic,True,,
35,9,9462,230975,M0,Non-mitotic,True,,
36,15,9462,230981,M0,Non-mitotic,True,,
37,22,9462,230988,M0,Non-mitotic,True,,
38,16,3,231016,M0,Non-mitotic,True,,
39,4,5231,231047,M0,Non-mitotic,True,,
40,7,5231,231050,M0,Non-mitotic,True,,
41,8,5231,231051,M0,Non-mitotic,True,,
42,16,5231,231059,M0,Non-mitotic,True,,
43,22,5231,231065,M0,Non-mitotic,True,,
44,25,5231,231068,M0,Non-mitotic,True,,
45,33,5231,231076,M0,Non-mitotic,True,,
46,42,5231,231085,M0,Non-mitotic,True,,
47,43,5231,231086,M0,Non-mitotic,True,,
48,1,4,231120,M4/M5,Mitotic,True,,
49,1,5233,231151,M4/M5,Mitotic,True,,
50,5,5233,231155,M0,Non-mitotic,True,,
51,15,5233,231165,M0,Non-mitotic,True,,
52,17,5233,231167,M0,Non-mitotic,True,,
53,20,5233,231170,M0,Non-mitotic,True,,
54,22,5233,231172,M0,Non-mitotic,True,,
55,23,5233,231173,M0,Non-mitotic,True,,
56,35,5233,231185,M0,Non-mitotic,True,,
57,13,9468,231200,M0,Non-mitotic,True,,
58,18,9468,231205,M0,Non-mitotic,True,,
59,19,9468,231206,M0,Non-mitotic,True,,
60,4,5,231218,M3,Mitotic,True,,
61,5,5,231219,M0,Non-mitotic,True,,
62,12,5,231226,M0,Non-mitotic,True,,
63,14,5,231228,M0,Non-mitotic,True,,
64,11,5235,231270,M0,Non-mitotic,True,,
65,14,5235,231273,M0,Non-mitotic,True,,
66,16,5235,231275,M0,Non-mitotic,True,,
67,23,5235,231282,M0,Non-mitotic,True,,
68,5,9471,231294,M0,Non-mitotic,True,,
69,11,9471,231300,M0,Non-mitotic,True,,
70,27,9471,231316,M0,Non-mitotic,True,,
71,28,9471,231317,M0,Non-mitotic,True,,
72,19,6,231346,M0,Non-mitotic,True,,
73,21,6,231348,M0,Non-mitotic,True,,
74,11,7,231370,M0,Non-mitotic,True,,
75,14,7,231373,M0,Non-mitotic,True,,
76,18,7,231377,M0,Non-mitotic,True,,
77,26,7,231385,M0,Non-mitotic,True,,
78,9,9,231453,M0,Non-mitotic,True,,
79,22,9,231466,M0,Non-mitotic,True,,
80,30,9,231474,M0,Non-mitotic,True,,
81,2,10,231485,M0,Non-mitotic,True,,
82,23,10,231506,M0,Non-mitotic,True,,
83,24,10,231507,M0,Non-mitotic,True,,
84,25,10,231508,M0,Non-mitotic,True,,
85,28,10,231511,M0,Non-mitotic,True,,
86,37,10,231520,M0,Non-mitotic,True,,
87,38,10,231521,M0,Non-mitotic,True,,
88,12,11,231536,M0,Non-mitotic,True,,
89,16,11,231540,M0,Non-mitotic,True,,
90,20,11,231544,M0,Non-mitotic,True,,
91,28,11,231552,M0,Non-mitotic,True,,
92,14,12,231576,M0,Non-mitotic,True,,
93,20,12,231582,M0,Non-mitotic,True,,
94,8,13,231603,M0,Non-mitotic,True,,
95,11,13,231606,M0,Non-mitotic,True,,
96,13,13,231608,M0,Non-mitotic,True,,
97,4,14,231649,M0,Non-mitotic,True,,
98,7,14,231652,M0,Non-mitotic,True,,
99,22,14,231667,M0,Non-mitotic,True,,
100,26,14,231671,M0,Non-mitotic,True,,
101,29,14,231674,M0,Non-mitotic,True,,
102,7,21,231861,M0,Non-mitotic,True,,
103,12,21,231866,M0,Non-mitotic,True,,
104,15,21,231869,M0,Non-mitotic,True,,
105,16,21,231870,M0,Non-mitotic,True,,
106,18,21,231872,M0,Non-mitotic,True,,
107,23,21,231877,M0,Non-mitotic,True,,
108,24,21,231878,M0,Non-mitotic,True,,
109,27,21,231881,M0,Non-mitotic,True,,
110,28,21,231882,M0,Non-mitotic,True,,
111,4,22,231898,M0,Non-mitotic,True,,
112,6,22,231900,M0,Non-mitotic,True,,
113,15,22,231909,M0,Non-mitotic,True,,
114,19,22,231913,M0,Non-mitotic,True,,
115,10,23,231937,M0,Non-mitotic,True,,
116,11,23,231938,M0,Non-mitotic,True,,
117,12,23,231939,M0,Non-mitotic,True,,
118,13,23,231940,M0,Non-mitotic,True,,
119,1,24,231955,M0,Non-mitotic,True,,
120,7,24,231961,M0,Non-mitotic,True,,
121,11,24,231965,M0,Non-mitotic,True,,
122,19,24,231973,M0,Non-mitotic,True,,
123,28,24,231982,M0,Non-mitotic,True,,
124,22,25,232007,M0,Non-mitotic,True,,
125,23,25,232008,M0,Non-mitotic,True,,
126,29,25,232014,M0,Non-mitotic,True,,
127,5,26,232031,M0,Non-mitotic,True,,
128,8,26,232034,M0,Non-mitotic,True,,
129,17,26,232043,M0,Non-mitotic,True,,
130,28,26,232054,M0,Non-mitotic,True,,
131,30,26,232056,M0,Non-mitotic,True,,
132,7,27,232068,M0,Non-mitotic,True,,
133,15,27,232076,M0,Non-mitotic,True,,
134,16,27,232077,M0,Non-mitotic,True,,
135,29,27,232090,M0,Non-mitotic,True,,
136,4,29,232106,M0,Non-mitotic,True,,
137,8,29,232110,M0,Non-mitotic,True,,
138,10,29,232112,M0,Non-mitotic,True,,
139,22,29,232124,M0,Non-mitotic,True,,
140,24,29,232126,M0,Non-mitotic,True,,
141,2,30,232140,M0,Non-mitotic,True,,
142,8,30,232146,M0,Non-mitotic,True,,
143,18,30,232156,M0,Non-mitotic,True,,
144,19,30,232157,M0,Non-mitotic,True,,
145,20,30,232158,M0,Non-mitotic,True,,
146,11,32,232182,M0,Non-mitotic,True,,
147,16,32,232187,M0,Non-mitotic,True,,
148,18,32,232189,M0,Non-mitotic,True,,
149,19,32,232190,M0,Non-mitotic,True,,
150,20,32,232191,M0,Non-mitotic,True,,
151,22,32,232193,M1/M2,Mitotic,True,,
152,29,32,232200,M0,Non-mitotic,True,,
153,33,32,232204,M0,Non-mitotic,True,,
154,34,32,232205,M0,Non-mitotic,True,,
155,8,33,232230,M0,Non-mitotic,True,,
156,9,33,232231,M0,Non-mitotic,True,,
157,10,33,232232,M0,Non-mitotic,True,,
158,12,33,232234,M0,Non-mitotic,True,,
159,35,33,232257,M0,Non-mitotic,True,,
160,7,35,232271,M0,Non-mitotic,True,,
161,14,35,232278,M0,Non-mitotic,True,,
162,4,40,232368,M0,Non-mitotic,True,,
163,5,40,232369,M0,Non-mitotic,True,,
164,6,40,232370,M0,Non-mitotic,True,,
165,7,40,232371,M0,Non-mitotic,True,,
166,12,40,232376,M0,Non-mitotic,True,,
167,14,40,232378,M0,Non-mitotic,True,,
168,32,40,232396,M0,Non-mitotic,True,,
169,7,44,232476,M0,Non-mitotic,True,,
170,8,44,232477,M0,Non-mitotic,True,,
171,11,44,232480,M0,Non-mitotic,True,,
172,12,44,232481,M0,Non-mitotic,True,,
173,31,44,232500,M0,Non-mitotic,True,,
174,7,45,232516,M0,Non-mitotic,True,,
175,9,45,232518,M0,Non-mitotic,True,,
176,13,45,232522,M0,Non-mitotic,True,,
177,17,45,232526,M0,Non-mitotic,True,,
178,41,45,232550,M0,Non-mitotic,True,,
179,2,52,232694,M0,Non-mitotic,True,,
180,15,52,232707,M0,Non-mitotic,True,,
181,20,52,232712,M0,Non-mitotic,True,,
182,37,52,232729,M0,Non-mitotic,True,,
183,3,53,232742,M0,Non-mitotic,True,,
184,14,53,232753,M0,Non-mitotic,True,,
185,18,53,232757,M0,Non-mitotic,True,,
186,19,53,232758,M0,Non-mitotic,True,,
187,21,53,232760,M0,Non-mitotic,True,,
188,26,53,232765,M0,Non-mitotic,True,,
189,36,53,232775,M0,Non-mitotic,True,,
190,2,58,232896,M0,Non-mitotic,True,,
191,15,58,232909,M0,Non-mitotic,True,,
192,23,58,232917,M0,Non-mitotic,True,,
193,41,58,232935,M0,Non-mitotic,True,,
194,53,58,232947,M0,Non-mitotic,True,,
195,6,59,232956,M0,Non-mitotic,True,,
196,7,59,232957,M0,Non-mitotic,True,,
197,8,59,232958,M0,Non-mitotic,True,,
198,9,59,232959,M0,Non-mitotic,True,,
199,18,59,232968,M0,Non-mitotic,True,,
200,26,59,232976,M0,Non-mitotic,True,,
201,31,59,232981,M0,Non-mitotic,True,,
202,1,62,233041,M4/M5,Mitotic,True,,
203,3,62,233043,M0,Non-mitotic,True,,
204,5,62,233045,M0,Non-mitotic,True,,
205,8,62,233048,M0,Non-mitotic,True,,
206,14,62,233054,M0,Non-mitotic,True,,
