col_id,description,second header
angle,angle of rotation to get cell on the long axis,cell metric
bbox_max_x,Bounding Box top X coordinate,cell metric
bbox_max_y,Bounding Box top Y coordinate,cell metric
bbox_max_z,Bounding Box top Z coordinate,cell metric
bbox_min_x,Bounding Box bottom X coordinate,cell metric
bbox_min_y,Bounding Box bottom Y coordinate,cell metric
bbox_min_z,Bounding Box bottom Z coordinate,cell metric
bf_clip_hi,Brightfield intensity used for upper bound clipped values,cell metric
bf_clip_lo,Brightfield intensity used for lower bound clipped values,cell metric
cell_height,Cell height computed from cell segmentation,cell metric
cell_stage,"a label indicating the cell cycle stage of this cell, which could be ""M0"", ""M1M2"", ""M3"", ""M4M5"", “M6M7_single” or ""M6M7_complete"". See more details about M0, M1, …, M7 at https://www.allencell.org/hips-cells-during-mitosis.html. Here, M6M7_single vs M6M7_complete indicate whether the two daugher cells are both included in this cell. These labels were generated by the combination of rule-based criteria and a deep learning based classifier. See more details and the training data used to build the deep learning based classifier here: https://open.quiltdata.com/b/allencell/packages/aics/mitotic_annotation.",cell metadata
cell_surface_area,Cell surface area computed from cell segmentation,cell metric
cell_volume,Cell volume computed from cell segmentation,cell metric
CellId,a unique identifier of each cell (match with the CellId in cfe.allencell.org),cell metadata
Cellular Component,The cellular localization of the specific protein,cell metadata
center_slice,Path to the center slice of the Z-stack,cell images
Description (from Uniprot),The description of protein function taken from the Uniprot database,cell metadata
dna_clip_hi,DNA pixel intensity used for upper bound clipped values,cell metric
dna_clip_lo,DNA pixel intensity used for lower bound clipped values,cell metric
edge_flag,a boolean value indicating if this cell is on the edge of a colony,cell metadata
fits_x,Boolean for if cell fits within bounding box for the X dimension,cell metric
fits_y,Boolean for if cell fits within bounding box for the Y dimension,cell metric
fits_z,Boolean for if cell fits within bounding box for the Z dimension,cell metric
FOVId,a unique identifier of the FOV image this cell is segmented from,field-of-view metadata
gene,the fluorescently tagged gene that represents the cell line this image was acquired from,cell metadata
InstrumentId,Microscope identifier,field-of-view metadata
max_projection_x,Path to Max projection of X dimension,cell images
max_projection_y,Path to Max projection of Y dimension,cell images
max_projection_z,Path to Max projection of Z dimension,cell images
mean_projection_x,Path to Mean projection of X dimension,cell images
mean_projection_y,Path to Mean projection of Y dimension,cell images
mean_projection_z,Path to Mean projection of Z dimension,cell images
median_projection_x,Path to median projection of X dimension,cell images
median_projection_y,Path to median projection of Y dimension,cell images
median_projection_z,Path to median projection of Z dimension,cell images
membrane_clip_hi,Cell Membrane pixel intensity used for upper bound clipped values,cell metric
membrane_clip_lo,Cell Membrane pixel intensity used for lower bound clipped values,cell metric
meta_colony_area,Area of colony,field-of-view metadata
meta_colony_centroid,"(X,Y) centroid of colony",field-of-view metadata
meta_colony_label,Colony identifier,field-of-view metadata
meta_fov_edgedist,Euclidean distance of FOV centroid to nearest colony edge,field-of-view metadata
meta_fov_outside_overview,Whether or not the colony touches the boundary of the overview image,field-of-view metadata
meta_fov_position,"Position of FOV: edge, center, or ridge",field-of-view metadata
meta_fov_xcoord,X component of stage centroid coordinate,field-of-view metadata
meta_fov_ycoord,Y component of stage centroid coordinate,field-of-view metadata
meta_imaging_mode,"One of three modes used to capture variations in colony area and locations within the colony (modes A and C), and to enrich images with mitotic cells (mode B) ",field-of-view metadata
meta_plate_bad_segmentation,Whether or not poor colony segmentations were detected,field-of-view metadata
meta_plate_confluency,Percentage of confluency on the plate,field-of-view metadata
meta_well_passage_at_imaging,Total passages,field-of-view metadata
meta_well_passage_at_thaw,Passages post-thaw,field-of-view metadata
nuclear_height,Nuclear height computed from nuclear segmentation,cell metric
nuclear_surface_area,Nuclear surface area computed from nuclear segmentation,cell metric
nuclear_volume,Nuclear volume computed from nuclear segmentation,cell metric
PiezoId,Piezo configuration of the microscope,field-of-view metadata
PlateId,Plate identifier,field-of-view metadata
ProtocolId,Matrigel protocol identifier,field-of-view metadata
3d_image,Path of the fully registered cell image,cell images
scale_micron,the size (in micrometer) of a single voxel along each dimension,cell metric
shape_mode_1_height,PC1 corresponding to a representation of cell height,cell metric
shape_mode_2_volume,PC2 corresponding to a representation of cell volume,cell metric
shape_mode_3_major_tilt,PC3 corresponding to a representation of cell's major tilt. See manuscript for more details.,cell metric
shape_mode_4_minor_tilt,PC2 corresponding to a representation of cell's minor tilt. See manuscript for more details.,cell metric
shape_mode_5_elongation,PC5 corresponding to a representation of cell elongation. See manuscript for more details.,cell metric
shape_mode_6_bean-ness,PC6 corresponding to a representation of cell's bean-ness. See manuscript for more details.,cell metric
shape_mode_7_pear-ness,PC7 corresponding to a representation of cell's pearness. See manuscript for more details.,cell metric
shape_mode_8_wedge,PC8 corresponding to a representation of wedge. See manuscript for more details.,cell metric
Structure,The specific organelle that the protein marks within the cell.,cell metadata
structure_clip_hi,Structure pixel intensity used for upper bound clipped values,cell metric
structure_clip_lo,Structure pixel intensity used for lower bound clipped values,cell metric
structure_connected_components,Number of connected component in the structure segmentation,cell metric
structure_volume,Structure volume computed from structure segmentation,cell metric
this_cell_index,"the index of this cell (i.e., the integer value in the segmentation image) in this FOV.",cell metadata
this_cell_nbr_complete,a boolean value indicating if all the direct neighboring cells in the colony are successfully segmented and included in the dataset,cell metadata
this_cell_nbr_dist_2d,a dictionary of the distance (2D euclidean distance in XY dimension) from this cell to its neightbors in the dataset.,cell metric
WellId,Well identifier,field-of-view metadata
WorkflowId,Imaging workflow identifier (see Variance paper for details?),field-of-view metadata
Protein,The protein name.,cell metadata
