,CellId,edge_flag_NEWandCORRECT,edge_flag_OLDandWRONG
0,230741,0,0
1,230745,0,0
2,230746,0,0
3,230748,0,0
4,230754,0,0
5,230755,0,0
6,230757,0,0
7,230758,0,0
8,230759,0,0
9,230760,0,0
10,230761,0,0
11,230762,0,0
12,230763,0,0
13,230764,0,0
14,230765,0,0
15,230775,0,0
16,230777,0,0
17,230783,0,0
18,230784,0,0
19,230787,0,0
20,230788,0,0
21,230789,0,0
22,230790,0,0
23,230792,0,0
24,230794,0,0
25,230797,0,0
26,230799,0,0
27,230802,0,0
28,230807,0,0
29,230809,0,0
30,230810,0,0
31,230811,0,0
32,230815,0,0
33,230817,0,0
34,230820,0,0
35,230822,0,0
36,230824,0,0
37,230826,0,0
38,230827,0,0
39,230831,0,0
40,230833,0,0
41,230835,0,0
42,230836,0,0
43,230839,0,0
44,230842,0,0
45,230843,0,0
46,230844,0,0
47,230848,0,0
48,230850,0,0
49,230851,0,0
50,230861,0,0
51,230863,0,0
52,230877,0,0
53,230882,0,0
54,230883,0,0
55,230884,0,0
56,230885,0,0
57,230886,0,0
58,230888,0,0
59,230893,0,0
60,230894,0,0
61,230896,0,0
62,230899,0,0
63,230900,0,0
64,230901,0,0
65,230907,0,0
66,230908,0,0
67,230910,0,0
68,230913,0,0
69,230920,0,0
70,230922,0,0
71,230924,0,0
72,230931,0,0
73,230932,0,0
74,230933,0,0
75,230934,0,0
76,230935,0,0
77,230936,0,0
78,230937,0,0
79,230938,0,0
80,230939,0,0
81,230940,0,0
82,230942,0,0
83,230948,0,0
84,230950,0,0
85,230951,0,0
86,230953,0,0
87,230954,0,0
88,230956,0,0
89,230957,0,0
90,230958,0,0
91,230959,0,0
92,230962,0,0
93,230972,0,0
94,230974,0,0
95,230975,0,0
96,230977,0,0
97,230979,0,0
98,230980,0,0
99,230981,0,0
100,230983,0,0
101,230984,0,0
102,230985,0,0
103,230987,0,0
104,230988,0,0
105,231005,0,0
106,231006,0,0
107,231008,0,0
108,231009,0,0
109,231013,0,0
110,231015,0,0
111,231016,0,0
112,231017,0,0
113,231018,0,0
114,231020,0,0
115,231026,0,0
116,231028,0,0
117,231029,0,0
118,231034,0,0
119,231035,0,0
120,231037,0,0
121,231045,0,0
122,231047,0,0
123,231048,0,0
124,231050,0,0
125,231051,0,0
126,231054,0,0
127,231056,0,0
128,231057,0,0
129,231059,0,0
130,231060,0,0
131,231065,0,0
132,231066,0,0
133,231067,0,0
134,231068,0,0
135,231069,0,0
136,231070,0,0
137,231076,0,0
138,231078,0,0
139,231081,0,0
140,231082,0,0
141,231085,0,0
142,231086,0,0
143,231087,0,0
144,231088,0,0
145,231093,0,0
146,231120,0,0
147,231122,0,0
148,231128,0,0
149,231129,0,0
150,231130,0,0
151,231131,0,0
152,231133,0,0
153,231136,0,0
154,231137,0,0
155,231151,0,0
156,231154,0,0
157,231155,0,0
158,231159,0,0
159,231165,0,0
160,231166,0,0
161,231167,0,0
162,231168,0,0
163,231169,0,0
164,231170,0,0
